artist,ontour,listeners,playcount
Melvin Taylor,0,40465,222544
Luther Allison,0,185715,1258720
We The Heathens,0,12168,263171
Ramshackle Glory,0,78865,2587232
Eric Lumiere,0,9627,42504
Ethan Loukas,0,3906,20892
Carly Lyman,0,2913,10117
Michelle Featherstone,0,92836,745973
Big Mama Thornton,0,232978,1377194
Neulore,0,49404,262074
Nathan Angelo,0,43853,327254
Andrew Ripp,0,51090,444098
Covers Culture,0,6564,88054
Keisha White,0,32887,204864
Beans on Toast,0,64095,1267263
Not Half Bad,0,24931,342905
"Defiance, Ohio",0,190831,7842602
NORMANDY,0,4047,31097
Parker Jenkins,0,3340,9478
Sunset & Highland,0,29877,98209
Shikao Suga,0,21621,227070
Guus Dielissen,0,19168,129017
Naotaro Moriyama,0,9407,62320
Postcards & Polaroids,0,13721,42997
Yu Takahashi,0,10948,101100
Unkle Bob,0,66986,695592
The Cameron Collective,0,7282,21819
Kurei,0,2259,8781
Little Walter,0,340094,2628155
Matt Pless,0,19018,294586
Jay Filson,0,3139,11542
Ankle Grease,0,19375,242279
John Elliott,0,11590,43780
Brandon Chase,0,39152,124298
Zak Manley,0,24395,87670
Linn Brikell,0,43424,177985
Rosie Thomas,0,335290,3146782
Celestial Conscience,0,12271,85679
Erato,0,111856,468649
Caj Morgan,0,9531,43192
Kazuyoshi Saito,0,8173,58427
Boyce Avenue,1,640431,16966939
Brendan James,0,73605,785954
Covers Culture,0,6564,88054
Calibretto 13,0,9835,154331
Laura Jane Grace,1,53115,1125319
Buddy Guy,1,659219,7624070
Grace Petrie,1,11883,317954
Salty Snacks,0,2615,6263
Boyce Avenue,1,640431,16966939
Michael Logen,0,10302,61279
Ice Seguerra,0,575,2176
Ingrid Michaelson,0,1362559,27201134
Jimmy Rogers,0,97141,536351
Todd Carey,0,28157,177825
Steve Pulvers,0,5463,28246
Andrew Foy,0,27150,208262
Rory Block,0,55625,360580
Bobbylene,0,3783,14309
Joey Cape,0,43807,984088
Son&Dad,0,9023,75396
Cannon's Jug Stompers,0,28498,135398
Vendredi,0,26084,176755
Marc Broussard,1,269467,2288793
Vendredi,0,26084,176755
J-Que Beenz,0,17714,56504
Roberto Diana,0,8743,155183
Bootstraps,0,44230,436371
Graham Colton,0,198260,1451534
Penny and Sparrow,1,144054,1754362
Correatown,0,48303,257336
Aberola,0,11959,37326
She/Her/hers,0,35010,627871
Corporate Hearts,0,18333,289828
Dan Andriano in the Emergency Room,0,24786,564308
Limoblaze,0,21559,277906
Criolo,1,264457,14510646
Criolo,1,264457,14510646
BaianaSystem,0,139167,5987526
Plastilina Mosh,1,202750,3497014
BaianaSystem,0,139167,5987526
Criolo,1,264457,14510646
Jorge Drexler,0,284554,10103510
Criolo,1,264457,14510646
BaianaSystem,0,139167,5987526
Criolo,1,264457,14510646
Juanafé,0,19053,144210
Criolo,1,264457,14510646
Criolo,1,264457,14510646
Samuca e a Selva,0,15730,160677
Jackie Mittoo,0,165270,1665845
Pompi,0,19815,713441
Menahan Street Band,0,561056,6587307
Los Pirañas,0,19222,121527
BaianaSystem,0,139167,5987526
BaianaSystem,0,139167,5987526
Jorge Drexler,0,284554,10103510
BaianaSystem,0,139167,5987526
Los Amigos Invisibles,1,245947,4523313
Jorge Drexler,0,284554,10103510
Metá Metá,0,71367,1556027
BaianaSystem,0,139167,5987526
BaianaSystem,0,139167,5987526
BaianaSystem,0,139167,5987526
Mandrill,0,157240,914338
Samuca e a Selva,0,15730,160677
BaianaSystem,0,139167,5987526
Hugh Masekela,0,220697,1618733
Manu Dibango,0,228226,1472349
Ernest Ranglin,0,136208,1263166
Calle 13,0,522180,12614235
El Michels Affair,0,356832,5204799
Ali Farka Touré,0,266657,3967276
BaianaSystem,0,139167,5987526
Los Amigos Invisibles,1,245947,4523313
Afrocidade,0,20788,272216
OQuadro,0,12974,93521
Nomade Orquestra,0,21565,209115
BaianaSystem,0,139167,5987526
Romperayo,0,9362,53627
William Onyeabor,0,196616,1954850
BaianaSystem,0,139167,5987526
Bixiga 70,0,58680,755814
Orquestra Brasileira de Música Jamaicana,0,14435,186939
Tony Allen,0,275486,2390614
Hugh Masekela,0,220697,1618733
CalledOut Music,0,15409,218702
Ali Farka Touré,0,266657,3967276
Bang Data,0,17402,104865
QUITAPENAS,0,5602,30241
Morbo y Mambo,0,24292,190251
Letta Mbulu,0,93923,584860
Tony Allen,0,275486,2390614
Subhira,0,1247,13284
La Misa Negra,0,3907,24113
Juanafé,0,19053,144210
Newen Afrobeat,0,16376,121695
Los Amigos Invisibles,1,245947,4523313
El Hijo De La Cumbia,0,13139,85744
BaianaSystem,0,139167,5987526
The Budos Band,0,352053,5262057
BaianaSystem,0,139167,5987526
BaianaSystem,0,139167,5987526
Samuca e a Selva,0,15730,160677
The New Mastersounds,1,174914,2134890
Limoblaze,0,21559,277906
Limoblaze,0,21559,277906
Mulatu Astatke,1,432621,6853572
TJ Cream,0,1387,23290
Caê,0,7502,54283
Jor'dan Armstrong,0,8281,74622
Sarah Téibo,0,2909,12795
Timoneki,0,3418,15843
Becca Folkes,0,1167,7457
Thiago França,0,16950,140081
Money Chicha,0,5616,29222
Breakestra,0,147138,1443402
Africania,0,2004,11488
Los Amigos Invisibles,1,245947,4523313
Abayomy Afrobeat Orquestra,0,22481,141732
BaianaSystem,0,139167,5987526
BaianaSystem,0,139167,5987526
BaianaSystem,0,139167,5987526
Prinx Emmanuel,0,2698,26310
Cymande,1,332175,3274993
Monophonics,1,182521,1799735
Amplexos,0,3056,37472
Breakestra,0,147138,1443402
The Bongo Hop,0,38011,207522
La Cumbia Chicharra,0,6720,18396
Fela Kuti,0,442038,6557226
Orgone,0,141954,1312902
Grupo Fantasma,0,25561,179328
The Bongo Hop,0,38011,207522
Juanafé,0,19053,144210
Juanafé,0,19053,144210
Lack Of Afro,0,125053,1502014
Samuca e a Selva,0,15730,160677
The New Mastersounds,1,174914,2134890
BaianaSystem,0,139167,5987526
Los Amigos Invisibles,1,245947,4523313
Los Amigos Invisibles,1,245947,4523313
BaianaSystem,0,139167,5987526
The Bamboos,0,278861,2810911
Kutiman,0,118007,1074776
Menahan Street Band,0,561056,6587307
TJ Cream,0,1387,23290
Sarah Téibo,0,2909,12795
Nathanael,0,740,10318
Voilaaa,0,42507,290783
Big Ty,0,149,2416
